Timestamp,Solar - Actual Aggregated [MW] (D - 2),Solar - Actual Aggregated [MW] (D - 1),Solar - Actual Aggregated [MW] (D),Wind Offshore - Actual Aggregated [MW] (D - 2),Wind Offshore - Actual Aggregated [MW] (D - 1),Wind Offshore - Actual Aggregated [MW] (D),Wind Onshore - Actual Aggregated [MW] (D - 2),Wind Onshore - Actual Aggregated [MW] (D - 1),Wind Onshore - Actual Aggregated [MW] (D)
2025-09-02 00:00:00,0.0,0.0,0.0,0.036799631693810064,0.03984165462494308,0.05244951580211696,0.03061057072541896,0.03198206677047862,0.060559234162887186
2025-09-02 01:00:00,0.0,0.0,0.0,0.04336451245910783,0.03933366497424519,0.0528128518879964,0.03049337864760342,0.031246256780574615,0.05766957435465552
2025-09-02 02:00:00,0.0,0.0,0.0,0.04213387398793266,0.04231316903947843,0.05239246302830118,0.03422008672213758,0.031947843050017966,0.056047038098696565
2025-09-02 03:00:00,0.0,0.0,0.0,0.03857476128712389,0.044713617544330654,0.051593724194880265,0.038743700925817415,0.031177809339653313,0.050623131185919476
2025-09-02 04:00:00,0.0,0.0,0.0,0.03180182293856989,0.045648002653127295,0.05010734929810074,0.036411578577288176,0.03317989698660141,0.04858337132128536
2025-09-02 05:00:00,0.0,0.0,0.0,0.036795204936719506,0.045616417804379236,0.049053374371293444,0.038942927458103835,0.03485685928917333,0.04752485957335023
2025-09-02 06:00:00,0.0001212268153715602,0.0,0.00013073604392731077,0.04290855647878034,0.046445520084015694,0.046260791231889496,0.04068908941755537,0.036248623921239814,0.050205907577244316
2025-09-02 07:00:00,0.011395320644926658,0.011822660098522168,0.009020787030984443,0.04500241258261435,0.04666924609598109,0.04637489677952106,0.041439118715574826,0.03683613112248099,0.05043769847095274
2025-09-02 08:00:00,0.03188265244272033,0.03310344827586207,0.038174924826774745,0.03764514229810668,0.046466576649847734,0.04457923579310862,0.04665416617836634,0.040634964093613286,0.04971914670045663
2025-09-02 09:00:00,0.07564553279185356,0.06423645320197044,0.07112040789645706,0.04088995524548582,0.04501104153670817,0.041129044366038585,0.043325911168405014,0.044205638928341236,0.04684493961847219
2025-09-02 10:00:00,0.0837677294217481,0.07231527093596059,0.10262779448293895,0.03998689679901195,0.04449515567382327,0.03974776668418287,0.035520918785890074,0.043794954282813416,0.042564534447989986
2025-09-02 11:00:00,0.12256031034064735,0.07014778325123153,0.140933455353641,0.03163360616912868,0.04343969531149241,0.041105022145484574,0.04108754248212821,0.04449654055225677,0.04211640538682037
2025-09-02 12:00:00,0.13528912595466117,0.07408866995073891,0.14760099359393386,0.03117765018880119,0.025994330519649726,0.02380602056902635,0.04574006797140513,0.04370369102825168,0.042487270816753846
2025-09-02 13:00:00,0.14692690023033095,0.1304433497536946,0.12367629755523597,0.021460918375026006,0.024204522423926577,0.024124314991367014,0.0468182350873081,0.04187842593701695,0.04490562247444505
2025-09-02 14:00:00,0.11952963995635835,0.1330049261083744,0.11086416525035953,0.040774859561131305,0.022598959279233753,0.0394174611515652,0.0452127036212352,0.0451182714739586,0.04433387160329761
2025-09-02 15:00:00,0.10752818523457389,0.16039408866995075,0.09687540855013728,0.037530046613752165,0.036717386669614584,0.04203288041438331,0.03932966131489511,0.04730858958344028,0.0436153198328015
2025-09-02 16:00:00,0.0749181718996242,0.11960591133004926,0.06876715910576546,0.035064342914311264,0.044911022849006,0.03830943622851137,0.038860893003632956,0.04715458284136735,0.04005346643281541
2025-09-02 17:00:00,0.045702509395078195,0.0638423645320197,0.0509870571316512,0.03219137756253901,0.043850298345217135,0.03821935290143383,0.04043126684636118,0.050023671406651954,0.03739559751829216
2025-09-02 18:00:00,0.034307188750151534,0.050443349753694584,0.03203033076219114,0.04492715771207487,0.04547428598501299,0.038312439006080626,0.03145435368569085,0.050981935579550185,0.029862393472768433
2025-09-02 19:00:00,0.010183052491211056,0.016157635467980297,0.00692901032814747,0.053417677811765436,0.045553248106883125,0.04102394715111478,0.03904840032813782,0.05029175721692705,0.030835915226343807
2025-09-02 20:00:00,0.0002424536307431204,0.00039408866995073894,0.00026147208785462153,0.050416336504367,0.04487943800025794,0.04018316943172435,0.05075588890191023,0.04795884027219266,0.020250797746992514
2025-09-02 21:00:00,0.0,0.0,0.0,0.05431188274405818,0.04443725011778517,0.04281059980481946,0.04810734794327903,0.046207726575289335,0.017639287011210952
2025-09-02 22:00:00,0.0,0.0,0.0,0.0640773088858295,0.04544270113626493,0.032243825538623226,0.05599437478026485,0.04508404775349795,0.020992528606859465
2025-09-02 23:00:00,0.0,0.0,0.0,0.06711406424995241,0.04594279457477581,0.031910517228436304,0.060107816711590295,0.043680875214611246,0.024732088358688682
