Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Netherlands,NLD,2025-01-19 23:00:00,2025-01-20 00:00:00,122.27
Netherlands,NLD,2025-01-20 00:00:00,2025-01-20 01:00:00,119.45
Netherlands,NLD,2025-01-20 01:00:00,2025-01-20 02:00:00,116.56
Netherlands,NLD,2025-01-20 02:00:00,2025-01-20 03:00:00,114.41
Netherlands,NLD,2025-01-20 03:00:00,2025-01-20 04:00:00,115.45
Netherlands,NLD,2025-01-20 04:00:00,2025-01-20 05:00:00,125.82
Netherlands,NLD,2025-01-20 05:00:00,2025-01-20 06:00:00,157.7
Netherlands,NLD,2025-01-20 06:00:00,2025-01-20 07:00:00,260.24
Netherlands,NLD,2025-01-20 07:00:00,2025-01-20 08:00:00,404.11
Netherlands,NLD,2025-01-20 08:00:00,2025-01-20 09:00:00,291.18
Netherlands,NLD,2025-01-20 09:00:00,2025-01-20 10:00:00,236.29
Netherlands,NLD,2025-01-20 10:00:00,2025-01-20 11:00:00,187.69
Netherlands,NLD,2025-01-20 11:00:00,2025-01-20 12:00:00,176.13
Netherlands,NLD,2025-01-20 12:00:00,2025-01-20 13:00:00,171.39
Netherlands,NLD,2025-01-20 13:00:00,2025-01-20 14:00:00,190.3
Netherlands,NLD,2025-01-20 14:00:00,2025-01-20 15:00:00,262.81
Netherlands,NLD,2025-01-20 15:00:00,2025-01-20 16:00:00,370.28
Netherlands,NLD,2025-01-20 16:00:00,2025-01-20 17:00:00,523.47
Netherlands,NLD,2025-01-20 17:00:00,2025-01-20 18:00:00,473.28
Netherlands,NLD,2025-01-20 18:00:00,2025-01-20 19:00:00,295.57
Netherlands,NLD,2025-01-20 19:00:00,2025-01-20 20:00:00,220.0
Netherlands,NLD,2025-01-20 20:00:00,2025-01-20 21:00:00,170.0
Netherlands,NLD,2025-01-20 21:00:00,2025-01-20 22:00:00,152.74
Netherlands,NLD,2025-01-20 22:00:00,2025-01-20 23:00:00,137.74
Netherlands,NLD,2025-05-10 22:00:00,2025-05-11 00:00:00,97.8
Netherlands,NLD,2025-05-10 23:00:00,2025-05-11 01:00:00,89.92
Netherlands,NLD,2025-05-11 00:00:00,2025-05-11 02:00:00,90.06
Netherlands,NLD,2025-05-11 01:00:00,2025-05-11 03:00:00,89.72
Netherlands,NLD,2025-05-11 02:00:00,2025-05-11 04:00:00,89.49
Netherlands,NLD,2025-05-11 03:00:00,2025-05-11 05:00:00,89.46
Netherlands,NLD,2025-05-11 04:00:00,2025-05-11 06:00:00,82.34
Netherlands,NLD,2025-05-11 05:00:00,2025-05-11 07:00:00,62.22
Netherlands,NLD,2025-05-11 06:00:00,2025-05-11 08:00:00,4.96
Netherlands,NLD,2025-05-11 07:00:00,2025-05-11 09:00:00,-0.1
Netherlands,NLD,2025-05-11 08:00:00,2025-05-11 10:00:00,-12.01
Netherlands,NLD,2025-05-11 09:00:00,2025-05-11 11:00:00,-67.42
Netherlands,NLD,2025-05-11 10:00:00,2025-05-11 12:00:00,-319.12
Netherlands,NLD,2025-05-11 11:00:00,2025-05-11 13:00:00,-350.0
Netherlands,NLD,2025-05-11 12:00:00,2025-05-11 14:00:00,-299.93
Netherlands,NLD,2025-05-11 13:00:00,2025-05-11 15:00:00,-109.96
Netherlands,NLD,2025-05-11 14:00:00,2025-05-11 16:00:00,-18.45
Netherlands,NLD,2025-05-11 15:00:00,2025-05-11 17:00:00,-0.12
Netherlands,NLD,2025-05-11 16:00:00,2025-05-11 18:00:00,77.01
Netherlands,NLD,2025-05-11 17:00:00,2025-05-11 19:00:00,111.95
Netherlands,NLD,2025-05-11 18:00:00,2025-05-11 20:00:00,124.86
Netherlands,NLD,2025-05-11 19:00:00,2025-05-11 21:00:00,115.3
Netherlands,NLD,2025-05-11 20:00:00,2025-05-11 22:00:00,98.45
Netherlands,NLD,2025-05-11 21:00:00,2025-05-11 23:00:00,84.68
Netherlands,NLD,2025-09-14 22:00:00,2025-09-15 00:00:00,15.62
Netherlands,NLD,2025-09-14 23:00:00,2025-09-15 01:00:00,1.63
Netherlands,NLD,2025-09-15 00:00:00,2025-09-15 02:00:00,-0.81
Netherlands,NLD,2025-09-15 01:00:00,2025-09-15 03:00:00,-1.5
Netherlands,NLD,2025-09-15 02:00:00,2025-09-15 04:00:00,-2.04
Netherlands,NLD,2025-09-15 03:00:00,2025-09-15 05:00:00,-0.99
Netherlands,NLD,2025-09-15 04:00:00,2025-09-15 06:00:00,19.69
Netherlands,NLD,2025-09-15 05:00:00,2025-09-15 07:00:00,50.0
Netherlands,NLD,2025-09-15 06:00:00,2025-09-15 08:00:00,38.75
Netherlands,NLD,2025-09-15 07:00:00,2025-09-15 09:00:00,0.9
Netherlands,NLD,2025-09-15 08:00:00,2025-09-15 10:00:00,-0.29
Netherlands,NLD,2025-09-15 09:00:00,2025-09-15 11:00:00,-2.44
Netherlands,NLD,2025-09-15 10:00:00,2025-09-15 12:00:00,-6.0
Netherlands,NLD,2025-09-15 11:00:00,2025-09-15 13:00:00,-10.65
Netherlands,NLD,2025-09-15 12:00:00,2025-09-15 14:00:00,-6.0
Netherlands,NLD,2025-09-15 13:00:00,2025-09-15 15:00:00,-6.9
Netherlands,NLD,2025-09-15 14:00:00,2025-09-15 16:00:00,-3.02
Netherlands,NLD,2025-09-15 15:00:00,2025-09-15 17:00:00,0.97
Netherlands,NLD,2025-09-15 16:00:00,2025-09-15 18:00:00,15.0
Netherlands,NLD,2025-09-15 17:00:00,2025-09-15 19:00:00,55.45
Netherlands,NLD,2025-09-15 18:00:00,2025-09-15 20:00:00,50.0
Netherlands,NLD,2025-09-15 19:00:00,2025-09-15 21:00:00,5.48
Netherlands,NLD,2025-09-15 20:00:00,2025-09-15 22:00:00,2.91
Netherlands,NLD,2025-09-15 21:00:00,2025-09-15 23:00:00,0.06
Netherlands,NLD,2025-09-15 22:00:00,2025-09-16 00:00:00,-0.01
Netherlands,NLD,2025-09-15 23:00:00,2025-09-16 01:00:00,-0.09
Netherlands,NLD,2025-09-16 00:00:00,2025-09-16 02:00:00,-0.23
Netherlands,NLD,2025-09-16 01:00:00,2025-09-16 03:00:00,-1.05
Netherlands,NLD,2025-09-16 02:00:00,2025-09-16 04:00:00,-1.33
Netherlands,NLD,2025-09-16 03:00:00,2025-09-16 05:00:00,-0.01
Netherlands,NLD,2025-09-16 04:00:00,2025-09-16 06:00:00,2.33
Netherlands,NLD,2025-09-16 05:00:00,2025-09-16 07:00:00,18.78
Netherlands,NLD,2025-09-16 06:00:00,2025-09-16 08:00:00,24.0
Netherlands,NLD,2025-09-16 07:00:00,2025-09-16 09:00:00,10.0
Netherlands,NLD,2025-09-16 08:00:00,2025-09-16 10:00:00,-0.01
Netherlands,NLD,2025-09-16 09:00:00,2025-09-16 11:00:00,-1.2
Netherlands,NLD,2025-09-16 10:00:00,2025-09-16 12:00:00,-2.04
Netherlands,NLD,2025-09-16 11:00:00,2025-09-16 13:00:00,-2.03
Netherlands,NLD,2025-09-16 12:00:00,2025-09-16 14:00:00,-0.01
Netherlands,NLD,2025-09-16 13:00:00,2025-09-16 15:00:00,-1.5
Netherlands,NLD,2025-09-16 14:00:00,2025-09-16 16:00:00,-1.49
Netherlands,NLD,2025-09-16 15:00:00,2025-09-16 17:00:00,6.47
Netherlands,NLD,2025-09-16 16:00:00,2025-09-16 18:00:00,74.03
Netherlands,NLD,2025-09-16 17:00:00,2025-09-16 19:00:00,121.21
Netherlands,NLD,2025-09-16 18:00:00,2025-09-16 20:00:00,120.79
Netherlands,NLD,2025-09-16 19:00:00,2025-09-16 21:00:00,98.78
Netherlands,NLD,2025-09-16 20:00:00,2025-09-16 22:00:00,90.1
Netherlands,NLD,2025-09-16 21:00:00,2025-09-16 23:00:00,92.06
