Hour,Representative_Date,Day,Hour_of_Day,Price (EUR/MWhe)
0,2025-09-09,Day_1,0,105.33
1,2025-09-09,Day_1,1,103.85
2,2025-09-09,Day_1,2,105.18
3,2025-09-09,Day_1,3,112.47
4,2025-09-09,Day_1,4,166.81
5,2025-09-09,Day_1,5,276.33
6,2025-09-09,Day_1,6,196.98
7,2025-09-09,Day_1,7,129.91
8,2025-09-09,Day_1,8,98.52
9,2025-09-09,Day_1,9,89.99
10,2025-09-09,Day_1,10,78.78
11,2025-09-09,Day_1,11,76.73
12,2025-09-09,Day_1,12,76.75
13,2025-09-09,Day_1,13,82.58
14,2025-09-09,Day_1,14,91.89
15,2025-09-09,Day_1,15,118.73
16,2025-09-09,Day_1,16,180.16
17,2025-09-09,Day_1,17,367.07
18,2025-09-09,Day_1,18,212.58
19,2025-09-09,Day_1,19,130.85
20,2025-09-09,Day_1,20,113.71
21,2025-09-09,Day_1,21,106.0
22,2025-09-09,Day_1,22,100.72
23,2025-09-09,Day_1,23,101.16
24,2025-06-12,Day_2,0,80.0
25,2025-06-12,Day_2,1,80.0
26,2025-06-12,Day_2,2,82.37
27,2025-06-12,Day_2,3,87.36
28,2025-06-12,Day_2,4,105.73
29,2025-06-12,Day_2,5,98.72
30,2025-06-12,Day_2,6,78.93
31,2025-06-12,Day_2,7,36.09
32,2025-06-12,Day_2,8,0.0
33,2025-06-12,Day_2,9,-2.0
34,2025-06-12,Day_2,10,-17.66
35,2025-06-12,Day_2,11,-30.96
36,2025-06-12,Day_2,12,-31.29
37,2025-06-12,Day_2,13,-14.0
38,2025-06-12,Day_2,14,-2.78
39,2025-06-12,Day_2,15,14.9
40,2025-06-12,Day_2,16,79.96
41,2025-06-12,Day_2,17,112.39
42,2025-06-12,Day_2,18,132.0
43,2025-06-12,Day_2,19,113.33
44,2025-06-12,Day_2,20,105.94
45,2025-06-12,Day_2,21,94.9
46,2025-06-12,Day_2,22,87.71
47,2025-06-12,Day_2,23,87.0
48,2025-03-13,Day_3,0,102.51
49,2025-03-13,Day_3,1,99.59
50,2025-03-13,Day_3,2,96.65
51,2025-03-13,Day_3,3,97.19
52,2025-03-13,Day_3,4,105.11
53,2025-03-13,Day_3,5,131.27
54,2025-03-13,Day_3,6,155.96
55,2025-03-13,Day_3,7,155.1
56,2025-03-13,Day_3,8,130.68
57,2025-03-13,Day_3,9,120.4
58,2025-03-13,Day_3,10,103.0
59,2025-03-13,Day_3,11,95.62
60,2025-03-13,Day_3,12,96.9
61,2025-03-13,Day_3,13,104.0
62,2025-03-13,Day_3,14,104.0
63,2025-03-13,Day_3,15,108.81
64,2025-03-13,Day_3,16,138.19
65,2025-03-13,Day_3,17,166.05
66,2025-03-13,Day_3,18,173.47
67,2025-03-13,Day_3,19,149.0
68,2025-03-13,Day_3,20,135.69
69,2025-03-13,Day_3,21,123.48
70,2025-03-13,Day_3,22,111.63
71,2025-03-13,Day_3,23,109.09
72,2025-04-16,Day_4,0,78.3
73,2025-04-16,Day_4,1,70.57
74,2025-04-16,Day_4,2,69.97
75,2025-04-16,Day_4,3,78.96
76,2025-04-16,Day_4,4,101.5
77,2025-04-16,Day_4,5,124.47
78,2025-04-16,Day_4,6,109.94
79,2025-04-16,Day_4,7,93.35
80,2025-04-16,Day_4,8,77.98
81,2025-04-16,Day_4,9,61.7
82,2025-04-16,Day_4,10,33.47
83,2025-04-16,Day_4,11,21.34
84,2025-04-16,Day_4,12,25.09
85,2025-04-16,Day_4,13,55.0
86,2025-04-16,Day_4,14,68.0
87,2025-04-16,Day_4,15,89.0
88,2025-04-16,Day_4,16,114.87
89,2025-04-16,Day_4,17,146.0
90,2025-04-16,Day_4,18,136.92
91,2025-04-16,Day_4,19,119.82
92,2025-04-16,Day_4,20,109.26
93,2025-04-16,Day_4,21,98.59
94,2025-04-16,Day_4,22,88.99
95,2025-04-16,Day_4,23,83.99
